No,League,Team,Player,Pos,Ht,Rk,S,Age,Nat,GP,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,ENG,Pts/GP,PIM,Pl/Mi
8,CWHL,MTL,Cathy Chartrand,D,,,,,,28.0,5.0,18.0,8.0,23.0,13.0,4.0,10.0,2.0,14.0,6.0,1.0,7.0,6.0,8.0,7.0,0.0,1.0,0.0,1.0,0.0,0,0.8214285714,30.0,28.0
76,CWHL,MTL,Karell Emard,F,,,,,,27.0,7.0,14.0,11.0,21.0,18.0,4.0,11.0,10.0,15.0,14.0,3.0,3.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.7777777778,48.0,13.0
88,CWHL,MTL,Kayla Tutino,F,,,,,,28.0,7.0,9.0,3.0,16.0,10.0,4.0,7.0,2.0,11.0,6.0,2.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,1,0.5714285714,8.0,14.0
14,CWHL,MTL,Erin Ambrose,D,,,,,,16.0,2.0,14.0,8.0,16.0,10.0,1.0,9.0,4.0,10.0,5.0,1.0,4.0,3.0,5.0,4.0,0.0,1.0,1.0,1.0,1.0,0,1.0,10.0,16.0
39,CWHL,MTL,Marion Allemoz (I),F,,,,,,28.0,4.0,10.0,6.0,14.0,10.0,3.0,5.0,4.0,8.0,7.0,1.0,5.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.5,4.0,7.0
51,CWHL,MTL,Cassandra Poudrier,D,,,,,,18.0,1.0,11.0,8.0,12.0,9.0,1.0,7.0,6.0,8.0,7.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.6666666667,12.0,13.0
9,CWHL,MTL,Kim Deschênes,F,,,,,,22.0,5.0,5.0,3.0,10.0,8.0,3.0,4.0,2.0,7.0,5.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0,0.4545454545,14.0,-1.0
23,CWHL,MTL,Sophie Brault,D,,,,,,26.0,0.0,9.0,3.0,9.0,3.0,0.0,8.0,3.0,8.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3461538462,20.0,5.0
17,CWHL,MTL,Melanie Desrochers,D,,,,,,28.0,3.0,6.0,4.0,9.0,7.0,3.0,5.0,3.0,8.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.3214285714,16.0,18.0
47,CWHL,MTL,Emmanuelle Blais,F,,,,,,28.0,4.0,4.0,4.0,8.0,8.0,4.0,4.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2857142857,16.0,0.0
13,CWHL,MTL,Caroline Ouellette,F,,,,,,6.0,1.0,5.0,2.0,6.0,3.0,1.0,3.0,1.0,4.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0,2.0
78,CWHL,MTL,Tracy-Ann Lavigne,F,,,,,,27.0,2.0,3.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1851851852,14.0,2.0
11,CWHL,MTL,Natalie Barrette,D,,,,,,25.0,0.0,5.0,3.0,5.0,3.0,0.0,4.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,4.0
22,CWHL,MTL,Erinn Noseworthy,F,,,,,,17.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.2352941176,0.0,2.0
